"year","leading_cause","sex","race_ethnicity","deaths","death_rate","age_adjusted_death_rate"
2010,"Influenza ","F","Hispanic",228,18.7,23.1
2008,"Accidents Except Drug Posioning ","F","Hispanic",68,5.8,6.6
2013,"Accidents Except Drug Posioning ","M","White",271,20.1,17.9
2010,"Cerebrovascular Disease ","M","Hispanic",140,12.3,21.4
2009,"Assault ","M","Black",255,30,30
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","F","Other",NA,NA,NA
2012,"Cerebrovascular Disease ","F","Asian/PI",102,17.5,20.7
2009,"Essential Hypertension and Renal Diseases ","M","Asian/PI",26,5.1,7.2
2010,"All Other Causes","F","White",2140,149.7,93.9
2009,"Alzheimer's Disease ","F","Other",NA,NA,NA
2013,"Cerebrovascular Disease ","M","Black",191,22.3,25
2011,"Cerebrovascular Disease ","F","Black",281,26.8,23.6
2012,"Diseases of Heart ","F","Unknown",76,NA,NA
2013,"Intentional Self-Harm ","M","Unknown",17,NA,NA
2011,"Human Immunodeficiency Virus Disease ","F","Hispanic",70,5.7,5.7
2011,"Accidents Except Drug Posioning ","F","Other",NA,NA,NA
2014,"Chronic Liver Disease and Cirrhosis ","M","Other",10,NA,NA
2007,"Diseases of Heart ","M","Black",2121,248.9,340.2
2008,"Chronic Liver Disease and Cirrhosis ","F","Unknown",NA,NA,NA
2007,"Alzheimer's Disease ","F","Unknown",NA,NA,NA
2011,"Alzheimer's Disease ","F","Hispanic",90,7.3,9.1
2009,"Influenza ","M","Hispanic",183,16.3,30.9
2008,"Accidents Except Drug Posioning ","M","Unknown",13,NA,NA
2007,"Essential Hypertension and Renal Diseases ","M","White",123,9.2,7.6
2009,"Diseases of Heart ","M","Asian/PI",554,108.5,158.8
2009,"Essential Hypertension and Renal Diseases ","F","Hispanic",84,7,8.8
2014,"All Other Causes","F","Other",59,NA,NA
2012,"Malignant Neoplasms ","F","Other",29,NA,NA
2010,"All Other Causes","F","Black",1326,126.5,117.4
2007,"Chronic Liver Disease and Cirrhosis ","M","Hispanic",107,9.8,12.8
2011,"Cerebrovascular Disease ","F","White",466,32.9,17.6
2008,"Human Immunodeficiency Virus Disease ","M","Black",356,41.9,41.8
2007,"All Other Causes","F","White",1680,117.1,81.5
2011,"Malignant Neoplasms ","M","White",3222,241.6,206.1
2014,"Essential Hypertension and Renal Diseases ","F","Other",NA,NA,NA
2013,"Malignant Neoplasms ","M","Black",1592,185.5,212.8
2010,"Chronic Lower Respiratory Diseases ","F","Unknown",6,NA,NA
2013,"Cerebrovascular Disease ","F","Black",271,25.9,21.7
2013,"Human Immunodeficiency Virus Disease ","M","Black",204,23.8,23.2
2010,"Cerebrovascular Disease ","M","Other",NA,NA,NA
2009,"Diseases of Heart ","M","White",5168,384.2,319.8
2009,"Diabetes Mellitus ","M","White",290,21.6,18.2
2009,"Influenza ","F","Black",281,26.8,24.5
2007,"Chronic Liver Disease and Cirrhosis ","F","Unknown",NA,NA,NA
2008,"Certain Conditions originating in the Perinatal Period ","F","Unknown",6,NA,NA
2008,"Essential Hypertension and Renal Diseases ","F","Unknown",NA,NA,NA
2011,"Essential Hypertension and Renal Diseases ","M","Unknown",NA,NA,NA
2013,"Essential Hypertension and Renal Diseases ","F","Other",8,NA,NA
2014,"Essential Hypertension and Renal Diseases ","F","Asian/PI",29,4.6,5.1
2007,"Chronic Liver Disease and Cirrhosis ","M","Other",NA,NA,NA
2013,"All Other Causes","M","White",2293,170.3,143.3
2008,"Accidents Except Drug Posioning ","M","Black",146,17.2,18.1
2007,"Malignant Neoplasms ","M","Unknown",45,NA,NA
2008,"Cerebrovascular Disease ","M","Hispanic",124,11.2,18.8
2009,"Diseases of Heart ","F","Asian/PI",448,81.6,108.7
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Hispanic",145,12.6,13
2012,"Diabetes Mellitus ","F","Unknown",15,NA,NA
2007,"Accidents Except Drug Posioning ","M","Other",5,NA,NA
2010,"Accidents Except Drug Posioning ","M","White",271,20.2,18.4
2010,"Accidents Except Drug Posioning ","F","White",163,11.4,7.8
2014,"Septicemia ","M","Unknown",8,NA,NA
2010,"Malignant Neoplasms ","M","Unknown",46,NA,NA
2014,"Diseases of Heart ","F","Unknown",95,NA,NA
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ","M","Hispanic",172,15.6,16.3
2008,"Malignant Neoplasms ","M","Black",1464,172.4,220.4
2008,"Essential Hypertension and Renal Diseases ","F","Other",NA,NA,NA
2013,"Diabetes Mellitus ","M","Black",300,35,41.1
2007,"Malignant Neoplasms ","M","Asian/PI",528,109.1,145.9
2009,"All Other Causes","F","Other",11,NA,NA
2007,"Diabetes Mellitus ","F","White",231,16.1,9.8
2008,"Certain Conditions originating in the Perinatal Period ","F","Other",NA,NA,NA
2009,"Influenza ","M","White",555,41.3,34.3
2014,"Human Immunodeficiency Virus Disease ","F","Black",102,9.7,8.5
2011,"Cerebrovascular Disease ","M","Hispanic",147,12.8,20.9
2013,"Septicemia ","F","Asian/PI",16,2.7,2.9
2009,"Chronic Lower Respiratory Diseases ","M","Black",147,17.3,22.6
